ticker
AMD
AMZN
AXP
COIN
CRWD
CRWV
DJT
GOOG
HOOD
JPM
KODK
LUMN
LUV
MRNA
MRP
MSFT
MU
NOK
NVDA
OCGN
PENG
PSTG
RCL
SHOP
TLX
ETH
ETHE
FTEC
GDX
